name,position,wins,games,total_games,winRate,pickRate,championId,championName,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,hp_18,mp_18,armor_18,spellblock_18,hpregen_18,mpregen_18,crit_18,attackdamage_18,attackspeed_18
노틸러스,T,47,77,131519,0.61038961,0.000585467,111,Nautilus,576,86,400,47,325,39,3.75,32,1.25,175,8.5,0.55,8.63,0.5,0,0,61,3.3,1,0.706,2038,1199,102.75,53.25,17.85,17.13,0,117.1,0.826
베이가,T,40,69,131519,0.579710145,0.000524639,45,Veigar,505,94,490,26,340,23,3.75,32,0.5,550,6.5,0.6,8,0.8,0,0,52,2.7,2.24,0.625,2103,932,86.75,40.5,16.7,21.6,0,97.9,0.863
람머스,T,51,88,131519,0.579545455,0.000669105,33,Rammus,564,80,310,33,335,36,4.3,32,1.25,125,8,0.55,7.84,0.5,0,0,56,3.5,2.215,0.656,1924,871,109.1,53.25,17.35,16.34,0,115.5,0.903
요릭,T,397,702,131519,0.565527066,0.005337632,83,Yorick,580,100,300,60,340,39,4,32,1.25,175,8,0.8,7.5,0.75,0,0,62,5,2,0.625,2280,1320,107,53.25,21.6,20.25,0,147,0.8375
제라스,T,52,92,131519,0.565217391,0.000699519,101,Xerath,526,92,459,22,340,22,3.5,30,0.5,525,5.5,0.55,8,0.8,0,0,55,3,1.36,0.625,2090,833,81.5,38.5,14.85,21.6,0,106,0.7695
자크,T,251,445,131519,0.564044944,0.003383542,154,Zac,615,95,0,0,340,33,3.5,32,1.25,175,8,0.5,0,0,0,0,60,3.4,1.6,0.736,2230,0,92.5,53.25,16.5,0,0,117.8,0.9362
세주아니,T,221,402,131519,0.549751244,0.003056593,113,Sejuani,560,100,400,40,340,34,4.25,32,1.25,150,8.5,1,7,0.7,0,0,66,4,3.5,0.688,2260,1080,106.25,53.25,25.5,18.9,0,134,1.0974
트리스타나,T,64,117,131519,0.547008547,0.000889605,18,Tristana,559,88,250,32,325,26,3,30,0.5,525,3.75,0.65,7.2,0.45,0,0,59,3.3,1.5,0.656,2055,794,77,38.5,14.8,14.85,0,115.1,0.8233
아크샨,T,184,337,131519,0.545994065,0.002562367,166,Akshan,560,90,350,40,330,26,3,30,0.5,500,3.75,0.65,8.175,0.7,0,0,52,3.5,4,0.638,2090,1030,77,38.5,14.8,20.075,0,111.5,1.0718
쉔,T,746,1370,131519,0.544525547,0.010416746,98,Shen,540,85,400,0,340,34,3,32,1.25,125,8.5,0.75,50,0,0,0,60,3,3,0.751,1985,400,85,53.25,21.25,50,0,111,1.134
제드,T,99,182,131519,0.543956044,0.00138383,238,Zed,584,85,200,0,345,32,3.5,32,1.25,125,7,0.65,50,0,0,0,63,3.4,3.3,0.651,2029,200,91.5,53.25,18.05,50,0,120.8,1.0162
트위스티드 페이트,T,74,137,131519,0.540145985,0.001041675,4,TwistedFate,534,94,333,39,330,21,3.15,30,0.5,525,5.5,0.6,8,0.8,0,0,52,3.3,3.22,0.651,2132,996,74.55,38.5,15.7,21.6,0,108.1,1.0074
카시오페아,T,283,524,131519,0.540076336,0.003984215,69,Cassiopeia,560,90,350,60,328,18,3.5,32,0.5,550,5.5,0.5,8,0.8,0,0,53,3,1.5,0.647,2090,1370,77.5,40.5,14,21.6,0,104,0.812
트린다미어,T,769,1425,131519,0.539649123,0.010834936,23,Tryndamere,626,98,100,0,345,33,3.1,32,1.25,125,8.5,0.9,0,0,0,0,72,3.7,2.9,0.67,2292,100,85.7,53.25,23.8,0,0,134.9,1.0003
벡스,T,55,102,131519,0.539215686,0.000775553,711,Vex,520,90,490,32,335,23,3.25,28,0.5,550,6.5,0.6,6,0.8,0,0,54,2.75,1,0.669,2050,1034,78.25,36.5,16.7,19.6,0,100.75,0.7827
킨드레드,T,35,65,131519,0.538461538,0.000494225,203,Kindred,540,85,300,35,325,29,3.5,30,0.5,500,7,0.55,7,0.4,0,0,65,2.5,3.5,0.625,1985,895,88.5,38.5,16.35,13.8,0,107.5,0.9969
문도 박사,T,381,712,131519,0.53511236,0.005413666,36,DrMundo,583,89,0,0,345,32,3,32,1.25,125,8,0.75,0,0,0,0,61,4.2,3.3,0.72,2096,0,83,53.25,20.75,0,0,132.4,1.1239
피들스틱,T,32,60,131519,0.533333333,0.000456208,9,Fiddlesticks,580.4,92,500,28,335,34,3.5,30,0.5,480,5.5,0.6,8,0.8,0,0,55.36,2.63,2.11,0.625,2144.4,976,93.5,38.5,15.7,21.6,0,100.07,0.8492
뽀삐,T,716,1344,131519,0.532738095,0.010219056,78,Poppy,540,90,280,40,345,38,3.5,32,1.25,125,8,0.8,7,0.7,0,0,64,4,2.5,0.625,2070,960,97.5,53.25,21.6,18.9,0,132,0.8906
질리언,T,49,92,131519,0.532608696,0.000699519,26,Zilean,504,82,452,50,335,24,3.8,30,0.5,550,5.5,0.5,11.34,0.8,0,0,52,3,2.13,0.625,1898,1302,88.6,38.5,14,24.94,0,103,0.8513
퀸,T,574,1078,131519,0.532467532,0.008196534,133,Quinn,533,85,269,35,335,28,3.5,30,0.5,525,5.5,0.55,6.97,0.4,0,0,59,2.4,3.1,0.668,1978,864,87.5,38.5,14.85,13.77,0,99.8,1.02
하이머딩거,T,361,678,131519,0.532448378,0.005155149,74,Heimerdinger,488,87,385,20,340,19,3,30,0.5,550,7,0.55,8,0.8,0,0,56,2.7,1.36,0.625,1967,725,70,38.5,16.35,21.6,0,101.9,0.7695
케일,T,648,1219,131519,0.531583265,0.009268623,10,Kayle,600,85,330,50,335,26,3,26,0.5,175,5,0.5,8,0.8,0,0,50,2.5,1.5,0.625,2045,1180,77,34.5,13.5,21.6,0,92.5,0.7844
럭스,T,59,111,131519,0.531531532,0.000843985,99,Lux,490,85,480,23.5,330,19,4,30,0.5,550,5.5,0.55,8,0.8,0,0,54,3.3,2,0.669,1935,879.5,87,38.5,14.85,21.6,0,110.1,0.8965
탐 켄치,T,1230,2317,131519,0.530858869,0.017617226,223,TahmKench,570,95,325,50,335,42,3.5,32,1.25,175,6.5,0.55,8,1,0,0,56,3.2,2.5,0.658,2185,1175,101.5,53.25,15.85,25,0,110.4,0.9377
우르곳,T,484,913,131519,0.530120482,0.006941963,6,Urgot,585,88,340,45,330,36,4.25,32,1.25,350,7.5,0.7,7.25,0.8,0,0,63,4,3.75,0.625,2081,1105,108.25,53.25,19.4,20.85,0,131,1.0234
카서스,T,57,108,131519,0.527777778,0.000821174,30,Karthus,550,87,467,30.5,335,18,3.5,30,0.5,450,6.5,0.55,8,0.8,0,0,46,3.25,2.11,0.625,2029,985.5,77.5,38.5,15.85,21.6,0,101.25,0.8492
키아나,T,42,80,131519,0.525,0.000608277,246,Qiyana,520,110,320,50,335,28,3.5,32,1.25,150,7.5,0.9,8,0.7,0,0,66,3.1,2.1,0.688,2390,1170,87.5,53.25,22.8,19.9,0,118.7,0.9336
나서스,T,705,1345,131519,0.524163569,0.010226659,75,Nasus,561,90,326,62,350,34,3.5,32,1.25,125,9,0.9,7.44,0.5,0,0,67,3.5,3.48,0.638,2091,1380,93.5,53.25,24.3,15.94,0,126.5,1.0154
신드라,T,68,130,131519,0.523076923,0.00098845,134,Syndra,523,90,480,40,330,25,3.4,30,0.5,550,6.5,0.6,8,0.8,0,0,54,2.9,2,0.625,2053,1160,82.8,38.5,16.7,21.6,0,103.3,0.8375
잭스,T,1684,3225,131519,0.522170543,0.024521172,24,Jax,593,85,339,52,350,36,3,32,1.25,125,8.5,0.55,7.58,0.7,0,0,68,4.25,3.4,0.638,2038,1223,87,53.25,17.85,19.48,0,140.25,1.0068
베인,T,2284,4375,131519,0.522057143,0.033265156,67,Vayne,515,89,231.8,35,330,23,3.4,30,0.5,550,3.5,0.55,6.97,0.4,0,0,60,2.36,3.3,0.658,2028,826.8,80.8,38.5,12.85,13.77,0,100.12,1.0271
자야,T,73,140,131519,0.521428571,0.001064485,498,Xayah,590,88,340,40,330,25,3,30,0.5,525,3.25,0.75,8.25,0.75,0,0,60,3.5,3.9,0.625,2086,1020,76,38.5,16,21,0,119.5,1.0394
오른,T,1452,2794,131519,0.519685039,0.021244079,516,Ornn,590,95,340.6,65,335,33,4,32,1.25,175,9,0.9,8.01,0.6,0,0,69,3.5,2,0.625,2205,1445.6,101,53.25,24.3,18.21,0,128.5,0.8375
진,T,32,62,131519,0.516129032,0.000471415,202,Jhin,585,93,300,50,330,24,3.5,30,0.5,550,3.75,0.55,6,0.8,0,0,59,4.7,0,0.625,2166,1150,83.5,38.5,13.1,19.6,0,138.9,0.625
트런들,T,398,772,131519,0.515544041,0.005869874,48,Trundle,616,96,281,45,350,37,2.7,32,1.25,175,6,0.75,7.5,0.6,0,0,68,3,2.9,0.67,2248,1046,82.9,53.25,18.75,17.7,0,119,1.0003
사이온,T,751,1459,131519,0.514736121,0.011093454,14,Sion,545,73,330,42,345,32,3,32,1.25,175,7.5,0.8,8,0.6,0,0,68,4,1.3,0.679,1786,1044,83,53.25,21.1,18.2,0,136,0.8291
세트,T,1743,3388,131519,0.51446281,0.025760537,875,Sett,600,93,0,0,340,33,4,32,1.25,125,7,0.5,0,0,0,0,60,4,1.75,0.625,2181,0,101,53.25,15.5,0,0,128,0.8109
초가스,T,354,690,131519,0.513043478,0.00524639,31,Chogath,574,80,270,60,345,38,3.5,32,1.25,125,9,0.85,7.2,0.45,0,0,69,4.2,1.44,0.625,1934,1290,97.5,53.25,23.45,14.85,0,140.4,0.778
카밀,T,3773,7358,131519,0.512775211,0.055946289,164,Camille,576,85,339,52,340,35,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,0,0,68,3.5,2.5,0.644,2021,1223,99.6,53.35,22.1,20.9,0,127.5,0.9177
모데카이저,T,810,1584,131519,0.511363636,0.012043887,82,Mordekaiser,575,90,100,0,335,37,3,32,1.25,175,5,0.75,0,0,0,0,61,4,1,0.625,2105,100,88,53.25,17.75,0,0,129,0.7312
클레드,T,567,1109,131519,0.511271416,0.008432242,240,Kled,340,70,100,0,345,35,4,28,1.25,125,6,0.75,0,0,0,0,65,3.5,3.5,0.625,1530,100,103,49.25,18.75,0,0,124.5,0.9969
빅토르,T,950,1861,131519,0.510478238,0.014150047,112,Viktor,530,90,405,45,335,23,4,30,0.5,525,8,0.65,8,0.8,0,0,53,3,2.11,0.658,2060,1170,91,38.5,19.05,21.6,0,104,0.894
그라가스,T,335,657,131519,0.509893455,0.004995476,79,Gragas,600,95,400,47,330,38,3.6,32,1.25,125,5.5,0.5,6,0.8,0,0,64,3.5,2.05,0.675,2215,1199,99.2,53.25,14,19.6,0,123.5,0.9102
